Day,Susceptible,Exposed,Infectious,Recovered,Dead
1,9990,10,0,0,0
2,9990,10,0,0,0
3,9990,10,0,0,0
4,9990,10,0,0,0
5,9990,10,0,0,0
6,9990,0,10,0,0
7,9989,1,10,0,0
8,9988,2,10,0,0
9,9985,5,10,0,0
10,9981,9,10,0,0
11,9980,9,11,0,0
12,9975,13,12,0,0
13,9973,12,5,10,0
14,9973,8,9,10,0
15,9968,12,10,10,0
16,9966,9,15,10,0
17,9961,12,17,10,0
18,9959,14,16,10,1
19,9956,12,20,11,1
20,9951,15,19,14,1
21,9947,14,20,18,1
22,9946,13,21,19,1
23,9942,14,19,24,1
24,9939,12,22,26,1
25,9938,9,26,26,1
26,9935,11,22,31,1
27,9930,12,24,33,1
28,9927,12,22,38,1
29,9926,12,21,40,1
30,9918,17,21,43,1
31,9914,16,21,48,1
32,9908,19,20,52,1
33,9904,22,20,53,1
34,9902,16,24,57,1
35,9898,16,25,60,1
36,9888,20,30,61,1
37,9882,22,31,64,1
38,9875,27,28,69,1
39,9873,25,29,72,1
40,9866,22,38,73,1
41,9858,24,36,81,1
42,9851,24,39,85,1
43,9840,33,35,91,1
44,9832,34,38,95,1
45,9822,36,44,97,1
46,9815,36,47,101,1
47,9810,30,48,111,1
48,9799,33,50,117,1
49,9789,33,53,124,1
50,9779,36,58,126,1
51,9774,36,56,133,1
52,9768,31,59,141,1
53,9751,38,62,148,1
54,9734,45,61,159,1
55,9726,48,58,167,1
56,9714,54,54,177,1
57,9705,46,64,184,1
58,9692,42,76,189,1
59,9680,46,73,200,1
60,9664,50,75,209,2
61,9645,60,74,219,2
62,9636,56,82,224,2
63,9619,61,88,230,2
64,9594,70,87,247,2
65,9577,68,89,264,2
66,9565,71,90,272,2
67,9543,76,95,284,2
68,9525,69,111,292,3
69,9503,74,115,305,3
70,9477,88,115,317,3
71,9452,91,121,333,3
72,9434,91,120,352,3
73,9409,94,133,361,3
74,9377,100,142,378,3
75,9352,100,142,403,3
76,9318,116,143,420,3
77,9294,115,156,432,3
78,9260,117,166,454,3
79,9235,117,173,471,4
80,9208,110,185,493,4
81,9176,118,183,518,5
82,9145,115,192,543,5
83,9104,131,199,561,5
84,9068,140,201,586,5
85,9033,143,201,617,6
86,9009,136,207,642,6
87,8971,133,214,676,6
88,8931,137,226,700,6
89,8895,138,227,734,6
90,8853,156,226,759,6
91,8823,148,237,786,6
92,8781,150,245,818,6
93,8737,158,250,849,6
94,8698,155,251,890,6
95,8660,163,245,925,7
96,8624,157,252,960,7
97,8580,157,272,984,7
98,8530,168,273,1022,7
99,8467,193,271,1062,7
100,8422,202,271,1098,7
101,8374,206,273,1140,7
102,8333,197,293,1170,7
103,8284,183,314,1212,7
104,8236,186,315,1256,7
105,8174,200,324,1295,7
106,8113,220,327,1332,8
107,8060,224,340,1368,8
108,8004,232,344,1412,8
109,7946,228,356,1462,8
110,7899,214,354,1525,8
111,7835,225,362,1570,8
112,7763,241,370,1618,8
113,7707,239,387,1658,9
114,7638,261,385,1707,9
115,7585,250,401,1754,10
116,7525,238,411,1816,10
117,7459,248,406,1877,10
118,7385,253,422,1930,10
119,7313,272,419,1985,11
120,7252,273,421,2043,11
121,7200,259,440,2090,11
122,7135,250,450,2154,11
123,7084,229,450,2226,11
124,7022,230,455,2282,11
125,6960,240,438,2351,11
126,6896,239,450,2404,11
127,6840,244,441,2464,11
128,6777,245,437,2530,11
129,6704,256,425,2604,11
130,6650,246,417,2675,12
131,6571,269,412,2735,13
132,6516,261,423,2787,13
133,6463,241,431,2851,14
134,6406,244,434,2902,14
135,6351,220,451,2963,15
136,6302,214,444,3025,15
137,6267,196,433,3089,15
138,6223,183,434,3145,15
139,6177,174,426,3208,15
140,6124,178,402,3280,16
141,6086,181,383,3334,16
142,6040,183,348,3412,17
143,6003,174,339,3467,17
144,5958,166,339,3520,17
145,5911,175,320,3577,17
146,5872,168,311,3632,17
147,5821,182,299,3681,17
148,5783,175,309,3716,17
149,5750,161,312,3760,17
150,5717,155,305,3806,17
151,5692,129,303,3858,18
152,5656,127,303,3896,18
153,5626,124,290,3942,18
154,5605,112,286,3978,19
155,5572,120,266,4023,19
156,5539,117,255,4070,19
157,5521,105,246,4109,19
158,5489,116,216,4160,19
159,5458,114,211,4198,19
160,5434,105,211,4231,19
161,5414,107,196,4264,19
162,5387,102,203,4289,19
163,5371,87,198,4325,19
164,5351,83,192,4355,19
165,5328,86,191,4376,19
166,5306,81,185,4409,19
167,5286,85,168,4442,19
168,5269,82,170,4460,19
169,5255,73,161,4492,19
170,5239,67,152,4522,20
171,5222,64,148,4546,20
172,5201,68,145,4566,20
173,5188,67,132,4593,20
174,5176,63,132,4609,20
175,5157,65,129,4629,20
176,5143,58,127,4651,21
177,5125,63,118,4673,21
178,5114,62,110,4693,21
179,5102,55,112,4710,21
180,5091,52,112,4724,21
181,5071,54,114,4740,21
182,5055,59,108,4757,21
183,5051,51,99,4778,21
184,5039,52,97,4791,21
185,5032,39,105,4803,21
186,5014,41,102,4821,22
187,5002,49,92,4835,22
188,4991,48,86,4853,22
189,4983,49,82,4864,22
190,4976,38,88,4876,22
191,4964,38,89,4887,22
192,4959,32,80,4907,22
193,4953,30,72,4923,22
194,4947,29,75,4927,22
195,4939,25,75,4939,22
196,4936,23,73,4946,22
197,4931,22,61,4964,22
198,4924,23,55,4976,22
199,4921,18,52,4987,22
200,4917,19,47,4995,22
201,4910,21,45,5002,22
202,4908,16,40,5013,23
203,4903,18,38,5018,23
204,4902,15,36,5024,23
205,4894,16,37,5029,24
206,4887,21,31,5037,24
207,4886,17,33,5040,24
208,4881,21,29,5045,24
209,4870,24,30,5052,24
210,4870,17,34,5055,24
211,4868,18,31,5059,24
212,4867,14,29,5066,24
213,4862,8,38,5068,24
214,4859,11,33,5073,24
215,4852,16,34,5074,24
216,4850,17,27,5082,24
217,4847,15,25,5089,24
218,4845,14,27,5090,24
219,4843,9,29,5095,24
220,4839,11,20,5106,24
221,4839,8,23,5106,24
222,4836,9,23,5108,24
223,4835,8,24,5109,24
224,4832,7,23,5114,24
225,4829,10,20,5117,24
226,4826,10,16,5124,24
227,4823,12,15,5126,24
228,4817,15,15,5129,24
229,4817,12,16,5131,24
230,4814,12,17,5133,24
231,4811,12,16,5137,24
232,4810,7,22,5137,24
233,4807,10,19,5140,24
234,4804,10,21,5141,24
235,4798,13,21,5144,24
236,4795,15,19,5147,24
237,4795,12,19,5150,24
238,4794,10,19,5153,24
239,4792,6,19,5159,24
240,4791,4,22,5159,24
241,4790,5,19,5162,24
242,4787,7,17,5165,24
243,4786,6,18,5166,24
244,4783,8,16,5169,24
245,4782,8,14,5172,24
246,4782,5,11,5178,24
247,4781,5,9,5181,24
248,4780,3,12,5181,24
249,4778,4,12,5182,24
250,4777,5,10,5184,24
251,4776,5,10,5185,24
252,4775,5,10,5186,24
253,4771,7,9,5189,24
254,4770,7,9,5190,24
255,4770,6,7,5193,24
256,4770,5,7,5194,24
257,4769,2,11,5194,24
258,4768,2,11,5195,24
259,4768,2,10,5196,24
260,4767,3,8,5198,24
261,4767,2,8,5199,24
262,4765,3,8,5200,24
263,4765,3,7,5201,24
264,4764,3,4,5205,24
265,4764,3,3,5206,24
266,4763,2,5,5206,24
267,4762,3,5,5206,24
268,4761,3,5,5207,24
269,4760,4,4,5208,24
270,4759,4,5,5208,24
271,4758,4,5,5209,24
272,4755,6,6,5209,24
273,4755,5,5,5211,24
274,4754,5,6,5211,24
275,4754,4,6,5212,24
276,4754,1,9,5212,24
277,4754,1,8,5213,24
278,4754,0,8,5214,24
279,4754,0,7,5215,24
280,4752,2,6,5216,24
281,4752,2,5,5217,24
282,4752,2,4,5218,24
283,4752,2,1,5220,25
284,4752,0,3,5220,25
285,4752,0,2,5221,25
286,4752,0,2,5221,25
287,4752,0,2,5221,25
288,4752,0,2,5221,25
289,4752,0,2,5221,25
290,4752,0,2,5221,25
291,4751,1,0,5223,25
292,4751,1,0,5223,25
293,4751,1,0,5223,25
294,4751,1,0,5223,25
295,4751,0,1,5223,25
296,4751,0,1,5223,25
297,4751,0,1,5223,25
298,4751,0,1,5223,25
299,4751,0,1,5223,25
300,4751,0,1,5223,25
301,4751,0,1,5223,25
302,4751,0,0,5224,25
303,4751,0,0,5224,25
304,4751,0,0,5224,25
305,4751,0,0,5224,25
306,4751,0,0,5224,25
307,4751,0,0,5224,25
308,4751,0,0,5224,25
309,4751,0,0,5224,25
310,4751,0,0,5224,25
311,4751,0,0,5224,25
312,4751,0,0,5224,25
313,4751,0,0,5224,25
